titulo,data,proximo_video
https://music.youtube.com/watch?v=-Uw97CvOgKU,2026-01-29 06:45:08,https://music.youtube.com/watch?v=K1dCGfSDbQY
https://music.youtube.com/watch?v=K1dCGfSDbQY,2026-01-29 06:47:58,https://music.youtube.com/watch?v=J2uG77Rm5Rs
https://music.youtube.com/watch?v=J2uG77Rm5Rs,2026-01-29 06:48:02,https://music.youtube.com/watch?v=raxubB2G2p8
https://music.youtube.com/watch?v=raxubB2G2p8,2026-01-29 06:48:03,https://music.youtube.com/watch?v=tZ0B6L4SiBQ
https://music.youtube.com/watch?v=tZ0B6L4SiBQ,2026-01-29 06:48:04,https://music.youtube.com/watch?v=lc24lSxY334
https://music.youtube.com/watch?v=lc24lSxY334,2026-01-29 06:48:05,https://music.youtube.com/watch?v=wnTz65qqxI0
https://music.youtube.com/watch?v=wnTz65qqxI0,2026-01-29 06:48:07,https://music.youtube.com/watch?v=TDHU_vswjf8
https://music.youtube.com/watch?v=TDHU_vswjf8,2026-01-29 13:03:41,https://www.youtube.com/watch?v=cRRQwBEqpWM
https://www.youtube.com/watch?v=cRRQwBEqpWM,2026-01-29 13:42:56,https://www.youtube.com/watch?v=_agpAVlSxq0
https://www.youtube.com/watch?v=_agpAVlSxq0,2026-01-29 13:43:12,https://www.youtube.com/watch?v=sTvMYIVuV8w
https://www.youtube.com/watch?v=sTvMYIVuV8w,2026-01-29 13:43:20,https://www.youtube.com/watch?v=MQlQqGnfQdg
https://www.youtube.com/watch?v=MQlQqGnfQdg,2026-01-29 13:50:49,https://www.youtube.com/watch?v=ypRELqIKdEM
https://www.youtube.com/watch?v=ypRELqIKdEM,2026-01-29 13:50:57,https://www.youtube.com/watch?v=AdDeDL_CKVE
https://www.youtube.com/watch?v=AdDeDL_CKVE,2026-01-29 13:53:09,https://www.youtube.com/watch?v=sPoU3MsnsYA
https://www.youtube.com/watch?v=sPoU3MsnsYA,2026-01-29 13:54:43,https://www.youtube.com/watch?v=8JO3dmLGPrg
https://www.youtube.com/watch?v=8JO3dmLGPrg,2026-01-29 14:00:01,https://www.youtube.com/watch?v=vsraOCR0KkY
https://www.youtube.com/watch?v=vsraOCR0KkY,2026-01-29 14:00:34,https://www.youtube.com/watch?v=-dTi4tyKBUg
https://www.youtube.com/watch?v=-dTi4tyKBUg,2026-01-29 14:03:06,https://www.youtube.com/watch?v=htwsYL0SQXo
https://www.youtube.com/watch?v=htwsYL0SQXo,2026-01-29 15:54:26,https://www.youtube.com/watch?v=KhSz7WtNKD0
https://www.youtube.com/watch?v=KhSz7WtNKD0,2026-01-29 16:12:32,https://www.youtube.com/watch?v=fMWPLXyY_dg
https://www.youtube.com/watch?v=fMWPLXyY_dg,2026-01-29 16:12:40,https://www.youtube.com/watch?v=SQ6xVORI3w8
https://www.youtube.com/watch?v=SQ6xVORI3w8,2026-01-29 16:23:42,https://www.youtube.com/watch?v=97zPS2sSrFQ
https://www.youtube.com/watch?v=97zPS2sSrFQ,2026-01-29 16:29:16,https://www.youtube.com/watch?v=c8-n_qrhAtg
https://www.youtube.com/watch?v=c8-n_qrhAtg,2026-01-29 16:29:23,https://www.youtube.com/watch?v=FfjxLwxvhmc
https://www.youtube.com/watch?v=FfjxLwxvhmc,2026-01-29 16:37:10,https://www.youtube.com/watch?v=2kRQ9bo-KTA
https://www.youtube.com/watch?v=2kRQ9bo-KTA,2026-01-29 16:37:34,https://www.youtube.com/watch?v=aLoPMqNdiy8
https://www.youtube.com/watch?v=aLoPMqNdiy8,2026-01-29 16:37:40,https://www.youtube.com/watch?v=tRyaQ4Z1j-M
https://www.youtube.com/watch?v=tRyaQ4Z1j-M,2026-01-29 16:47:27,https://www.youtube.com/watch?v=Jubu4IS1bZU
https://www.youtube.com/watch?v=Jubu4IS1bZU,2026-01-29 16:48:30,https://www.youtube.com/watch?v=YaUg2JPGsrw
https://www.youtube.com/watch?v=YaUg2JPGsrw,2026-01-29 17:13:29,https://www.youtube.com/watch?v=LICjdFcG7sU
https://www.youtube.com/watch?v=LICjdFcG7sU,2026-01-29 17:14:11,https://www.youtube.com/watch?v=OVbEPV728-E
https://www.youtube.com/watch?v=OVbEPV728-E,2026-01-29 17:19:53,https://www.youtube.com/watch?v=IQHgi14y2ag
https://www.youtube.com/watch?v=IQHgi14y2ag,2026-01-29 17:20:00,https://www.youtube.com/watch?v=_xhulIrM6hw
https://www.youtube.com/watch?v=_xhulIrM6hw,2026-01-29 17:20:16,https://music.youtube.com/watch?v=tkCgsv25nDs
https://music.youtube.com/watch?v=tkCgsv25nDs,2026-01-29 17:22:22,https://music.youtube.com/watch?v=9_bTl2vvYQg
https://music.youtube.com/watch?v=9_bTl2vvYQg,2026-01-29 17:24:39,https://music.youtube.com/watch?v=_gkWAhgusgU
https://music.youtube.com/watch?v=_gkWAhgusgU,2026-01-29 17:24:40,https://music.youtube.com/watch?v=zeKCzmAKKP4
https://music.youtube.com/watch?v=zeKCzmAKKP4,2026-01-29 17:24:44,https://music.youtube.com/watch?v=XJWQLq1oPAc
https://music.youtube.com/watch?v=XJWQLq1oPAc,2026-01-29 17:25:14,https://music.youtube.com/watch?v=NT4eF9YsYnM
https://music.youtube.com/watch?v=NT4eF9YsYnM,2026-01-29 17:26:19,https://music.youtube.com/watch?v=L8u_z4AaXRs
https://music.youtube.com/watch?v=L8u_z4AaXRs,2026-01-29 17:26:21,https://music.youtube.com/watch?v=-aytZ0n_KNQ
https://music.youtube.com/watch?v=-aytZ0n_KNQ,2026-01-29 17:27:37,https://music.youtube.com/watch?v=awsCmcCSxFU
https://music.youtube.com/watch?v=awsCmcCSxFU,2026-01-29 17:28:50,https://music.youtube.com/watch?v=E5LqtCpdsTs
https://music.youtube.com/watch?v=E5LqtCpdsTs,2026-01-29 17:29:52,https://music.youtube.com/watch?v=BobeOUbg1GI
https://music.youtube.com/watch?v=BobeOUbg1GI,2026-01-29 17:30:15,https://music.youtube.com/watch?v=2B9fBFtBXhU
https://music.youtube.com/watch?v=2B9fBFtBXhU,2026-01-29 17:31:00,https://music.youtube.com/watch?v=wlzGXcTzdzU
https://music.youtube.com/watch?v=wlzGXcTzdzU,2026-01-29 17:31:01,https://music.youtube.com/watch?v=FL-0pJsDz7k
https://music.youtube.com/watch?v=FL-0pJsDz7k,2026-01-29 17:33:51,https://music.youtube.com/watch?v=M4T_k33CI1M
https://music.youtube.com/watch?v=M4T_k33CI1M,2026-01-29 17:35:55,https://music.youtube.com/watch?v=lMMGvFS_KqE
https://music.youtube.com/watch?v=lMMGvFS_KqE,2026-01-29 17:35:55,https://music.youtube.com/watch?v=tsu8BbPrQSM
https://music.youtube.com/watch?v=tsu8BbPrQSM,2026-01-29 17:35:56,https://music.youtube.com/watch?v=p8_ugAjWI5I
https://music.youtube.com/watch?v=p8_ugAjWI5I,2026-01-29 17:35:58,https://music.youtube.com/watch?v=8RRnVZrYjis
https://music.youtube.com/watch?v=8RRnVZrYjis,2026-01-29 17:35:58,https://music.youtube.com/watch?v=vpohuhgqf5w
https://music.youtube.com/watch?v=vpohuhgqf5w,2026-01-29 17:35:59,https://music.youtube.com/watch?v=WxYgXmZ9xh8
https://music.youtube.com/watch?v=WxYgXmZ9xh8,2026-01-29 17:36:00,https://music.youtube.com/watch?v=Ns0svgOVo10
https://music.youtube.com/watch?v=Ns0svgOVo10,2026-01-29 17:36:01,https://music.youtube.com/watch?v=EtamqTN6zWQ
https://music.youtube.com/watch?v=EtamqTN6zWQ,2026-01-29 17:36:02,https://music.youtube.com/watch?v=b14Z5u1YdxQ
https://music.youtube.com/watch?v=b14Z5u1YdxQ,2026-01-29 17:36:03,https://music.youtube.com/watch?v=V9EUmduEtwU
https://music.youtube.com/watch?v=V9EUmduEtwU,2026-01-29 17:36:04,https://music.youtube.com/watch?v=-KrC-gqKTMg
https://music.youtube.com/watch?v=-KrC-gqKTMg,2026-01-29 17:36:05,https://music.youtube.com/watch?v=mHTO2Xu3dlg
https://music.youtube.com/watch?v=mHTO2Xu3dlg,2026-01-29 17:36:05,https://music.youtube.com/watch?v=TG2AtaWuikA
https://music.youtube.com/watch?v=TG2AtaWuikA,2026-01-29 17:36:06,https://music.youtube.com/watch?v=ZujrPLw9y9E
https://music.youtube.com/watch?v=ZujrPLw9y9E,2026-01-29 17:36:09,https://music.youtube.com/watch?v=G-fCOEZnnTs
https://music.youtube.com/watch?v=G-fCOEZnnTs,2026-01-29 17:36:10,https://music.youtube.com/watch?v=-ZBMFq4-gQ4
https://music.youtube.com/watch?v=-ZBMFq4-gQ4,2026-01-29 17:39:31,https://music.youtube.com/watch?v=MviU9xHGJDQ
https://music.youtube.com/watch?v=MviU9xHGJDQ,2026-01-29 17:39:33,https://music.youtube.com/watch?v=nI6GP8wKJ6o
https://music.youtube.com/watch?v=nI6GP8wKJ6o,2026-01-29 17:43:03,https://music.youtube.com/watch?v=N5_LRfVGQ5s
https://music.youtube.com/watch?v=N5_LRfVGQ5s,2026-01-29 17:45:16,https://music.youtube.com/watch?v=Bc9ijogGmtU
https://music.youtube.com/watch?v=Bc9ijogGmtU,2026-01-29 17:47:52,https://music.youtube.com/watch?v=knz9JqYfX4w
https://music.youtube.com/watch?v=knz9JqYfX4w,2026-01-29 17:50:50,https://music.youtube.com/watch?v=WO6AjJOtGU4
https://music.youtube.com/watch?v=WO6AjJOtGU4,2026-01-29 19:39:13,https://music.youtube.com/watch?v=h8DeZSB2o-c
https://music.youtube.com/watch?v=h8DeZSB2o-c,2026-01-29 19:42:05,https://music.youtube.com/watch?v=0l6DvOCcTKM
https://music.youtube.com/watch?v=0l6DvOCcTKM,2026-01-29 19:46:51,https://music.youtube.com/watch?v=CNDYWba7YDY
https://music.youtube.com/watch?v=CNDYWba7YDY,2026-01-29 19:50:18,https://music.youtube.com/watch?v=x-0W81HtigY
https://music.youtube.com/watch?v=x-0W81HtigY,2026-01-29 19:53:02,https://music.youtube.com/watch?v=Md6W5N2Y0dY
https://music.youtube.com/watch?v=Md6W5N2Y0dY,2026-01-29 19:56:21,https://music.youtube.com/watch?v=8RWan91xx0A
https://music.youtube.com/watch?v=8RWan91xx0A,2026-01-29 20:03:01,https://music.youtube.com/watch?v=6D-LQ51NMWs
https://music.youtube.com/watch?v=6D-LQ51NMWs,2026-01-29 20:03:15,https://music.youtube.com/watch?v=V4hMjv_ji_0
https://music.youtube.com/watch?v=V4hMjv_ji_0,2026-01-29 20:06:04,https://music.youtube.com/watch?v=3KFvoDDs0XM
https://music.youtube.com/watch?v=3KFvoDDs0XM,2026-01-29 20:09:17,https://music.youtube.com/watch?v=MbCeJ-WzLrk
https://music.youtube.com/watch?v=MbCeJ-WzLrk,2026-01-29 20:12:20,https://music.youtube.com/watch?v=KMViJKmAV4M
https://music.youtube.com/watch?v=KMViJKmAV4M,2026-01-29 20:14:12,https://music.youtube.com/watch?v=Rgrt_8mXrK8
https://music.youtube.com/watch?v=Rgrt_8mXrK8,2026-01-29 20:14:18,https://music.youtube.com/watch?v=HfpR4tAmI7E
https://music.youtube.com/watch?v=HfpR4tAmI7E,2026-01-29 20:16:34,https://music.youtube.com/watch?v=AdEKgwUqPKI
https://music.youtube.com/watch?v=AdEKgwUqPKI,2026-01-29 20:20:55,https://music.youtube.com/watch?v=QBDem6bffyo
