ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do comentário principal,ID do post,ID do vídeo,Texto do comentário,ID do comentário de nível superior
UgzpfETNewq8pyAVYZx4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-19T21:39:50.530982+00:00,0,,,phn_w7E2vew,"{""text"":""Oi""}",
UgyQonEhm1HZruVCEcl4AaABAg.9Fw_d4HPZL09FwjB3VnbYT,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-12T01:27:31.049748+00:00,0,UgyQonEhm1HZruVCEcl4AaABAg,UgyD25emVDNz3ijdx3t4AaABCQ,,"{""text"":""Qiem joga ff é CORNO""}",UgyQonEhm1HZruVCEcl4AaABAg
Ugy0MezK4fDzgzcrqZd4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-12T01:26:50.537469+00:00,0,,UgyD25emVDNz3ijdx3t4AaABCQ,,"{""text"":""Educado vs mal educado""}",
Ugw9yt-v3A8Hf5ooC6p4AaABAg.92NyljFnqNd9FowR9z_Jcs,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-09T00:49:23.609218+00:00,0,Ugw9yt-v3A8Hf5ooC6p4AaABAg.92NyljFnqNd93Ij9INx1Ay,,XHYc0WZE_b4,"{""text"":""@icaro lonely"",""mention"":{""externalChannelId"":""UChvzaQzcr3VL_LUv3NEr6SA""}},{""text"":"" É sim, pois esse charizard vale 3.000 reais, e vc deve estar só no videogame sem nada para fazer""}",Ugw9yt-v3A8Hf5ooC6p4AaABAg
UgyO8GUFgQnl2HcOn4V4AaABAg.9Fgxutwb57y9FhA80Noz5_,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-06T00:23:55.560098+00:00,0,UgyO8GUFgQnl2HcOn4V4AaABAg,,AiErvUspc3g,"{""text"":""Apoio demais""}",UgyO8GUFgQnl2HcOn4V4AaABAg
UgzNuaDUFN5YFUN15ox4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-05T20:18:20.311345+00:00,0,,,tyB5zAdyZuU,"{""text"":""Oi""}",
UgxUmY-Bg4HMYRuOnGZ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-10-27T13:33:01.832537+00:00,0,,,xLfKyAqCUjU,"{""text"":""Um dos primeiros a comentar""}",
UgyKi2PsvlmejRG0oex4AaABAg.9ElBuk69ZcV9FIQlARKEmw,UCDBnBJ2_rN3m97D1RNJju4Q,2020-10-27T00:28:57.969109+00:00,0,UgyKi2PsvlmejRG0oex4AaABAg,,Mi6fn9VDSWw,"{""text"":""Eu""}",UgyKi2PsvlmejRG0oex4AaABAg
Ugx6e-yyTJ3d2tOsmNR4AaABAg.9Ey2zDCC6so9Ey3zv9zNpl,UCDBnBJ2_rN3m97D1RNJju4Q,2020-10-18T17:25:57.05634+00:00,0,Ugx6e-yyTJ3d2tOsmNR4AaABAg,,YV0HaB1Nw8E,"{""text"":""Dá uma skin""}",Ugx6e-yyTJ3d2tOsmNR4AaABAg
Ugxy58xGyewi5AJj9Kd4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-10-15T21:15:33.223165+00:00,0,,,pE-rh-8S2hY,"{""text"":""Manda salve""}",
UgxpGyIqUN7lqZn3uA14AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-10-08T21:38:59.503448+00:00,0,,, -beLFq2lWdo,"{""text"":""Que vai vencer vai ser o Jonesy""}",
Ugw2RBTSIuGBN-bi1wN4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-10-07T22:56:37.655222+00:00,0,,,1aBqFvVfmnc,"{""text"":""Plataforma: PS4""}",
Ugy8mLm1HTRztNqhx7h4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-10-07T22:56:24.360986+00:00,0,,,1aBqFvVfmnc,"{""text"":""Me add por favor nick: Maestro_Gab""}",
UgzautKJNzBiw8zx4s94AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-09-30T21:55:56.390828+00:00,0,,,FiY3HA7hKio,"{""text"":""Me add""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab ""},{""text"":""\n""},{""text"":""Plataforma: PS4""}",
Ugx6zkD7yCiD4gEg3gB4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-09-14T00:04:49.099973+00:00,0,,,ydC-1PTOEno,"{""text"":""Me add por favor""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab ""},{""text"":""\n""},{""text"":""Plataforma: PS4""}",
Ugzf9bmvFeucKwuSPQl4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-09-09T17:16:30.034604+00:00,0,,UgzHGQjBKZeDHQ4ZuYd4AaABCQ,,"{""text"":""Temporada 5""}",
UgwNWrdwNf71VOpKBWB4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-09-02T14:33:21.899244+00:00,0,,,25kzlkeYSGQ,"{""text"":""Me add pf""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab ""},{""text"":""\n""},{""text"":""Plataforma: PS4""}",
UgwLv8Qv9r2Mr_6o-x14AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-09-01T13:20:13.906474+00:00,0,,,5frgeg-Cw_g,"{""text"":""Alguém brasileiro ?""}",
UgzQAYnjosfXAKwlAoJ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-08-21T22:11:47.989944+00:00,0,,,rDoZt259va0,"{""text"":""Da like nick""}",
UgyT2_mI0W-D2cqjfn14AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-08-21T22:11:28.927829+00:00,0,,,rDoZt259va0,"{""text"":""42 a comentar""}",
UgwyF8VN_cWEhfth7wB4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-08-05T14:48:49.455197+00:00,0,,,HWTi4GQdzWg,"{""text"":""Me add aí pf""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab ""},{""text"":""\n""},{""text"":""Plataforma: PS4""}",
UgwNacsLpklGjOdQAtN4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-21T16:06:53.168985+00:00,0,,,9oCM51BQIVM,"{""text"":""Melhor youtuber""}",
UgwVWIkCC_i6qwMm79h4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-21T13:31:47.820253+00:00,0,,,901_ShxnWWs,"{""text"":""Primeiro a comentar""}",
UgyVseHGdyj_B-F2SYl4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-20T23:49:38.598297+00:00,0,,,AWk7Qv0AkoM,"{""text"":""Me add por favor nick: Maestro_Gab""},{""text"":""\n""},{""text"":""Plataforma: PS4""}",
